Flight_ID,Airline,Source,Destination,Departure_Date,Departure_Time,Arrival_Time,Duration,Total_Stops,Distance_km,Travel_Class,Days_Before_Departure,Season,Weekday,Aircraft_Type,Booking_Channel,Passenger_Count,Price
FL151554,Air India,Mumbai,Ahmedabad,2026-09-11,22:30,,2h 05m,,448.5,Economy,3,Monsoon,Friday,ATR 72,Travel Agent,3,2921.21
FL115908,Singapore Airlines,Mumbai,Bangkok Airport,,22:25,02:51,4h 27m,non-stop,3079.2 km,Business,,Winter,,Airbus A350,Mobile App,2,92282.82
FL100119,Thai Airways,,Singapore,2025-10-04,03:10,08:07,4h 58m,0,3480.6,Economy,4,Autumn,Saturday,Airbus A380,Website,2,47626.54
FL135287,ETIHAD AIRWAYS,New York,Dubai Airport,2026-08-23,1:35 PM,06:28,16.89,1,11585.7,Premium Economy,77,Monsoon,Sunday,Airbus A320,Mobile App,5,111019.57
FL169488,Qatar Airways,Bangkok,Dubai Airport,,11:15,19:04,7h 50m,,4898.6,Economy,14,Summer,Thursday,Boeing 787 Dreamliner,,1,58147.89
FL143983,Singapore Airlines,BKK,Delhi,2026-10-22,02:40,08:39,6h 00m,1,2969.4 km,Economy,77,Autumn,Thursday,Boeing 787 Dreamliner,Third-Party,1,23304.61
FL111544,Emirates,HYD,Bangkok,2025-12-13,07:55,12:52 PM,4.96,1,2418.6,Economy,2,,Saturday,Airbus A380,Website,1,49330.75
FL190738,Thai Airways,New York,Pune,2025-07-23,21:50,15:32,17h 42m,non-stop,13417.5,Economy,11,Monsoon,Wednesday,Airbus A320,Mobile App,1,128103.4
FL165997,Etihad Airways,Pune,Dubai,2026-06-22,1:55 AM,06:21,4h 27m,1 stop,2182.7,Business,13,Monsoon,Monday,Airbus A350,Mobile App,5,850061.87
FL136340,british airways,SYD,SIN,2025-08-02,08:15,,12.39,2,6554.0,Economy,18,Monsoon,Saturday,,Third-Party,2,54253.09
FL105853,Indigo,Delhi,Hyderabad,2026-03-26,12:00,4:15 PM,4h 15m,2,1292.8,Business,11,Summer,Thursday,Boeing 737,Travel Agent,,13889.28
FL188505,Air India,Chennai,Goa,2026-09-24,22:40,01:08,2h 29m,1 stop,,Business,103,,Thursday,Airbus A321,Website,5,8329.38
FL101642,AirAsia India,DEL,Jaipur,2026-02-15,21:30,1:00 AM,3h 31m,2,248.9,Economy,55,Winter,Sunday,Airbus A320,Third-Party,2,2000
FL143699,Etihad Airways,Sydney,BOM,2025-02-05,20:15,1:04 PM,16h 50m,2,10252.8,Economy,165,Winter,Wednesday,Airbus A380,Mobile App,2,80344.43
FL142152,Air India,HYD,AMD,2025-12-07,7:05 PM,,1h 41m,0,,Economy,117,Winter,Sunday,ATR 72,Mobile App,2,3825.78
FL180493,Etihad Airways,Bangkok,Frankfurt,2026-02-08,5:05 PM,05:36,752 min,non-stop,9381.5,Economy,17,Winter,Sunday,Airbus A320,,2,94998.94
FL127541,Etihad Airways,New York,Bangkok,2026-01-23,00:35,,19.61,1 stop,,Economy,8,Winter,Friday,Boeing 787 Dreamliner,Mobile App,4,145722.73
FL127360,AirAsia India,Bangalore,Mumbai Airport,2026-11-09,01:55,3:34 AM,1h 40m,non-stop,907.2,Economy,33,Autumn,Monday,,Mobile App,4,4233.65
FL188284,Lufthansa,Bangkok,Frankfurt Airport,2025-02-27,8:35 AM,20:48,12h 13m,non-stop,9144.4,Economy,11,Winter,Thursday,Airbus A320,Mobile App,1,155986.36
FL130753,,Bangalore,PNQ,2025-06-30,04:00,05:27,1h 28m,non-stop,749.5,Economy,1,,Monday,Airbus A321,Third-Party,5,7695.88
FL103612,Etihad Airways,Jaipur,Bangkok Airport,2026-11-14,10:00 AM,5:18 PM,7h 19m,2,2989.0,Economy,36,Autumn,Saturday,Airbus A350,Mobile App,1,"Rs. 25,943.36"
FL172227,Thai Airways,Sydney Airport,Doha Airport,2025-04-16,4:05 PM,12:57 PM,1252 min,2 stops,13095.8,Economy,11 days,Summer,Wednesday,Airbus A380,Third-Party,4,108099.63
FL193641,AIRASIA INDIA,DEL,,2025-03-22,9:15 AM,1:18 PM,4h 03m,,,Economy,19,Summer,Saturday,Airbus A320,Website,one,6760.5
FL114075,Lufthansa,Singapore,Sydney,2026-09-03,11:25 PM,10:02,10.63,1,6567.3,Premium Economy,38,Monsoon,Thursday,Boeing 787 Dreamliner,Travel Agent,2,80869.08
FL184347,GoFirst,Bangalore,Hyderabad,2025-06-14,2:25 PM,6:16 PM,3h 52m,2 stops,532.5,Economy,7,Monsoon,Saturday,ATR 72,Website,1,2260.59
FL182212,Singapore Airlines,London Airport,Goa,2026-03-12,12:20 PM,00:13,11h 53m,1,7605.6,Economy,5,Summer,Thursday,Airbus A320,Travel Agent,1,108565.33
FL100342,Thai Airways,Jaipur,Doha Airport,2025-10-12,9:40 PM,03:43,6h 03m,,2519.4,Economy,15,Autumn,Sunday,Boeing 777,Travel Agent,1,26575.98
FL176783,Singapore Airlines,Goa Airport,,2025-08-17,09:35,,5h 46m,1,,Economy,7,Monsoon,Sunday,Boeing 787 Dreamliner,Website,1,51367.02
FL158976,Lufthansa,HYD,Singapore,2025-05-30,06:55,1:33 PM,6.63,,3386.1,Economy,13,Summer,Friday,Airbus A350,,2,44671.6
FL165427,Vistara,Doha,Chennai Airport,2025-09-12,8:00 PM,03:47,7h 47m,2,3384.1,Economy,37,Monsoon,Friday,Boeing 777,Travel Agent,3,20901.13
FL146071,Emirates,Bangalore,LHR,2025-01-07,02:55,2:32 PM,11h 37m,,8671.7,Economy,0,Winter,,Boeing 777,Website,5,200000
FL125347,British Airways,Dubai,New York Airport,2025-11-19,08:05,00:30,16h 26m,1 stop,11469.1,Economy,149,Autumn,Wednesday,Airbus A320,,1,73665.49
FL182295,emirates,Ahmedabad Airport,Frankfurt,2025-03-11,21:00,09:20,12h 20m,2,6679.5,Economy,10,Summer,Tuesday,Boeing 787 Dreamliner,Airport Counter,,87396.74
FL183368,Emirates,SYD,Kolkata Airport,2026-12-14,4:55 AM,18:38,823 min,1,9168.0,Economy,44,Winter,Monday,Boeing 787 Dreamliner,Third-Party,1,71841.99
FL116137,Vistara,BKK,Sydney,2026-02-21,23:30,09:46,10h 17m,0,7630.8,Economy,18,Winter,Saturday,Boeing 787 Dreamliner,Travel Agent,1,77502.93
FL171159,Qatar Airways,Jaipur,Dubai Airport,2026-04-08,06:40,12:28,5h 48m,2,,Economy,162,Summer,Wednesday,Airbus A380,Third-Party,1,19055.22
FL169370,Singapore Airlines,PNQ,Doha,2025-09-17,08:30,2:10 PM,5h 40m,2 stops,2440.8 km,Economy,50,Monsoon,Wednesday,,Third-Party,3,18257.76
FL153565,Air India,Hyderabad,Mumbai,2026-11-30,16:00,17:20,1.35,non-stop,661.7,Economy,20,Autumn,Monday,Airbus A320,Travel Agent,4,3004.58
FL174135,Air India,Kolkata,Ahmedabad,2026-01-28,11:30,3:41 PM,4h 11m,1,1738.0,Economy,34,Winter,Wednesday,Airbus A321,Mobile App,2,8578.4
FL180553,,Frankfurt,Delhi,2025-01-06,01:35,1:06 PM,11h 31m,,6129.6,Economy,0,Winter,Monday,Airbus A380,Mobile App,5,90842.31
FL171067,Qatar Airways,Dubai,Bangalore,2025-02-25,13:15,18:41,5h 26m,1 stop,2748.1,Economy,,Winter,Tuesday,Airbus A380,Website,,18309.79
FL134636,British Airways,Goa Airport,Singapore,,4:50 AM,11:45,6h 56m,1 stop,3759.8,Economy,28,Winter,Wednesday,Airbus A380,Website,,50214.01
FL154756,,Bangkok,Singapore,2026-10-25,13:05,3:30 PM,146 min,0,1504.0,Premium Economy,9,Autumn,Sunday,Boeing 787 Dreamliner,Mobile App,1,26569.92
FL168707,Etihad Airways,Chennai,London,2026-12-07,7:50 PM,08:12,12h 23m,1,8255.3,Economy,101,Winter,,,Mobile App,5,82057.13
FL121917,,AMD,SIN,2026-12-28,09:20,16:40,7h 20m,1,4198.8,Business,9,Winter,Monday,Boeing 787 Dreamliner,Website,,162160.8
FL108865,Singapore Airlines,DXB,Bangalore,2025-09-26,2:35 PM,20:11,5h 37m,1,2799.9,Economy,38,Monsoon,Friday,Airbus A320,Website,,24372.23
FL182981,Etihad Airways,Doha Airport,CCU,2025-05-19,7:40 AM,15:34,7h 54m,2,4003.9,,26 days,Summer,Monday,Airbus A320,Travel Agent,2,41147.74
FL116276,Emirates,Sydney,Pune,2026-05-27,01:05,16:28,15h 23m,1,10796.9,Premium Economy,41,,Wednesday,Airbus A320,Travel Agent,2,173729.57
FL117442,SpiceJet,Jaipur Airport,Bangalore,2025-10-23,9:35 PM,12:07 AM,2h 33m,0,1598.0,Economy,148,Autumn,Thursday,Airbus A320,Mobile App,6,4386.34
FL110068,Lufthansa,,Goa,2026-07-04,20:25,08:46,,1,8017.1,Economy,59,Monsoon,Saturday,Airbus A320,Website,1,413.79
FL191735,AirAsia India,Chennai,Kolkata,2026-02-21,6:05 AM,08:19,2.24,0,1361.0,Economy,21,Winter,Saturday,Airbus A320,Mobile App,1,7453.47
FL157272,Emirates,Dubai Airport,Hyderabad,2025-01-29,03:20,,3h 49m,0,2592.9,Business,4,Winter,Wednesday,Airbus A380,Mobile App,1,114958.11
FL138305,Etihad Airways,Delhi,Doha,2026-11-19,3:10 AM,,3h 58m,0,2708.5,Economy,29,Autumn,Thursday,Airbus A350,Mobile App,1,27966.89
FL190659,Indigo,Goa Airport,Bangalore,2026-08-17,06:25,,1h 10m,0,521.4,Economy,4,Monsoon,Monday,ATR 72,Website,5,3314.06
FL176042,GoFirst,Hyderabad,Ahmedabad,,13:25,3:05 PM,1h 41m,0,918.2,Economy,2,Monsoon,Sunday,Airbus A321,Mobile App,1,5825.63
FL181579,Thai Airways,London,Pune Airport,2025-03-10,8:45 PM,7:14 AM,10h 29m,0,7792.0,Economy,7,Summer,Monday,Boeing 787 Dreamliner,Mobile App,1,
FL101013,british airways,Pune,London,2026-08-18,09:55,21:57,723 min,1,7679.3,Premium Economy,2,Monsoon,Tuesday,Airbus A320,Mobile App,1,183142.34
FL143410,Etihad Airways,Jaipur,Singapore,2025-10-31,,00:39,349 min,0,4149.3,Economy,43,Autumn,Friday,Airbus A320,Third-Party,1,39587.22
FL116182,Etihad Airways,Mumbai,Singapore,2025-02-15,20:15,03:15,7.01,1 stop,4144.0,Economy,123,Winter,Saturday,Boeing 787 Dreamliner,Airport Counter,2,42335.44
FL110587,Air India,Jaipur,CCU,2025-10-30,20:40,02:13,5h 33m,2,1401.5,Economy,1,Autumn,Thursday,Airbus A320,,4,9061.76
FL176917,Qatar Airways,London,AMD,,07:50,5:43 PM,9h 54m,non-stop,7329.5,Economy,1,Winter,Thursday,Boeing 787 Dreamliner,,1,114470.43
FL106105,SpiceJet,Pune,Chennai,,7:20 AM,09:01,102 min,non-stop,933.4,Economy,0,Summer,Sunday,Airbus A321,Website,1,8135.75
FL185245,Thai Airways,New York,Delhi Airport,2025-08-09,15:15,7:48 AM,994 min,non-stop,12528.6,Economy,7,Monsoon,Saturday,Airbus A380,Mobile App,,200000
FL196883,Qatar Airways,PNQ,Dubai,2026-08-06,1:05 PM,5:42 PM,278 min,1,2075.7,First,11,Monsoon,Thursday,Airbus A320,Mobile App,,93793.35
FL192331,Singapore Airlines,Dubai,London Airport,2026-07-28,15:20,11:00 PM,7h 40m,non-stop,5591.8,Economy,29,Monsoon,Tuesday,,Travel Agent,5,"Rs. 52,536.82"
FL151925,Vistara,Bangalore,Singapore Airport,2025-03-04,5:40 PM,22:21,4h 41m,non-stop,3269.1,Economy,107,,Tuesday,Airbus A350,,2,27403.92
FL190466,Thai Airways,Sydney Airport,Ahmedabad Airport,2026-02-07,03:40,17:47,14.13,0,10630.6,Economy,28,Winter,Saturday,Airbus A320,Website,1,179581.85
FL189051,SpiceJet,,Goa,2026-09-10,2:25 AM,4:56 AM,2h 32m,0,1584.6,Economy,35,Monsoon,Thursday,ATR 72,Travel Agent,1,6281.22
FL179390,SpiceJet,Hyderabad Airport,Chennai,2026-05-10,4:25 AM,6:50 AM,2h 26m,,519.2,Economy,9,Summer,Sunday,,Third-Party,3,2748.92
FL106329,Indigo,Hyderabad,Pune,2026-12-05,08:05,10:49,164 min,1,530.8,Economy,9,Winter,Saturday,ATR 72,Third-Party,2,2413.43
FL134412,British Airways,AMD,New York,2025-04-30,08:30,03:00,18h 31m,2,12152.4,Premium Economy,40,Summer,Wednesday,Airbus A350,Website,4,132422.79
FL170276,Thai Airways,LHR,Pune,2026-07-23,,06:41,10h 32m,non-stop,,Economy,104,Monsoon,Thursday,Airbus A350,Travel Agent,1,
FL196342,Air India,Kolkata Airport,Pune,2026-11-15,7:40 PM,10:20 PM,2h 41m,non-stop,1697.1,Economy,12,Autumn,Sunday,ATR 72,Travel Agent,1,9877.0
FL145700,Qatar Airways,Dubai,Bangalore Airport,2026-03-21,04:30,09:31,5.02,1 stop,2731.1,,5,,Saturday,Airbus A320,Mobile App,one,34870.7
FL189173,Air India,Chennai,Mumbai,2026-03-15,,9:40 PM,111 min,0,1049.0,Economy,87,Summer,Sunday,Airbus A321,Mobile App,1,393408.36
FL182930,airasia india,Chennai Airport,Ahmedabad,2026-05-04,5:00 AM,7:20 AM,,non-stop,1437.3,Economy,106,Summer,Monday,ATR 72,Website,two,6530.77
FL124331,Qatar Airways,Singapore,Doha,2025-07-25,03:10,12:11 PM,9h 02m,non-stop,6650.2,Economy,176,Monsoon,Friday,Airbus A380,,4,77971.82
FL138009,Qatar Airways,Singapore Airport,Mumbai,2026-11-01,16:50,10:28 PM,5h 39m,non-stop,4011.6,Economy,173,Autumn,Sunday,Boeing 787 Dreamliner,Mobile App,2,52401.91
FL180247,Qatar Airways,London,Pune,2025-01-19,1:30 AM,14:49,13h 19m,2,7457.5,Economy,23,Winter,Sunday,Airbus A320,Travel Agent,4,77249.3
FL149502,Lufthansa,Pune,,2026-10-06,11:20,22:02,10h 42m,1,6856.5,Business,10,Autumn,Tuesday,Airbus A320,Website,1,200000
FL196820,Air India,Ahmedabad,HYD,2025-03-30,06:35,08:17,1h 42m,non-stop,937.8,Economy,172,Summer,Sunday,ATR 72,Website,3,5839.2
FL170521,Lufthansa,Bangkok,Jaipur,2025-03-21,22:45,3:07 AM,4h 23m,0,3023.5,Economy,,Summer,Friday,Boeing 787 Dreamliner,Travel Agent,2,43203.19
FL104760,Qatar Airways,Ahmedabad Airport,Frankfurt,2025-11-08,03:40,13:45,10h 06m,1,6549.6,Business,31,,Saturday,Airbus A320,Third-Party,1,183380.83
FL174204,Lufthansa,SIN,Frankfurt Airport,2025-01-17,12:35 PM,,922 min,1,10707.0,First,,,Friday,Airbus A320,Airport Counter,3,
FL180213,Vistara,Sydney,Mumbai,2026-05-09,01:05,,,1 stop,10565.9,Economy,11,Summer,Saturday,Airbus A320,Website,1,105895.72
FL187562,indigo,Chennai,Delhi,2025-12-29,4:15 PM,8:22 PM,4h 07m,1,1774.2,Business,40,Winter,Monday,Airbus A321,,1,25000
FL103485,Lufthansa,Singapore,SYD,2026-10-23,20:10,04:54,8h 44m,0,6423.7,Business,33,Autumn,Friday,Airbus A350,Website,1,177208.06
FL100302,British Airways,Sydney,Kolkata,2025-01-08,05:05,17:42,758 min,non-stop,9459.1,,,Winter,Wednesday,Airbus A320,Third-Party,1,
FL190404,Vistara,Hyderabad,Bangkok,2026-11-23,7:35 AM,11:16,221 min,non-stop,2486.9,,,Autumn,Monday,Boeing 777,Third-Party,1,19646.52
FL132606,Indigo,Mumbai,HYD,2026-01-19,18:35,7:53 PM,79 min,non-stop,631.5,Economy,6,Winter,Monday,Airbus A320,Website,1,3800.93
FL142247,Indigo,Goa,Jaipur,2026-09-22,08:30,11:48 AM,3h 19m,1,1353.4,Economy,8,Monsoon,Tuesday,Airbus A321,Website,1,8759.68
FL151419,Qatar Airways,Delhi,,2025-01-25,10:00,18:34,8h 34m,0,6297.8,,11,Winter,Saturday,Airbus A350,,2,162432.64
FL161158,SpiceJet,Chennai,Kolkata Airport,2025-10-26,16:20,21:17,4.96,2,1364.8,Business,0,Autumn,Sunday,Boeing 737,Mobile App,2,25000
FL129604,GoFirst,,Delhi Airport,2026-06-18,14:45,18:15,3.52,1 stop,1176.8,First,36,Monsoon,Thursday,ATR 72,Mobile App,3,"Rs. 15,580.04"
FL107548,Emirates,Frankfurt,,2026-12-18,2:45 AM,9:37 AM,6h 53m,0,,Economy,0,Winter,Friday,Airbus A380,Travel Agent,1,98169.07
FL111289,Qatar Airways,Delhi,Bangkok,2026-06-09,12:10,16:36,4h 27m,0,3075.7,First,2,Monsoon,Tuesday,Boeing 787 Dreamliner,Mobile App,6,183753.89
FL172291,,New York,,,11:05,05:44,1119 min,1,12821.0,Economy,24,Monsoon,Monday,Airbus A380,Mobile App,2,124641.95
FL174552,BRITISH AIRWAYS,London,Bangkok,2026-04-02,16:40,07:01,14h 21m,1,,Economy,1,Summer,Thursday,Boeing 787 Dreamliner,Third-Party,1,171754.33
FL126869,Thai Airways,Singapore,Jaipur,2025-01-04,13:20,19:18,5.97,non-stop,4266.1,Economy,42,Winter,Saturday,Airbus A320,Website,2,35015.36
FL184745,Lufthansa,MAA,London,2026-10-17,19:35,09:03,13h 28m,2 stops,8458.9,Premium Economy,21,Autumn,Saturday,,Mobile App,2,81591.13
FL188484,qatar airways,Doha,Mumbai,2026-06-15,11:15 PM,02:43,3.48,0,2326.8,Economy,6,Monsoon,Monday,Boeing 787 Dreamliner,Mobile App,1,36478.97
FL194091,Vistara,HYD,Bangalore,2025-05-07,7:55 AM,10:26,2h 31m,1 stop,529.5,Economy,16,Summer,Wednesday,ATR 72,Website,2,3139.29
FL137136,,PNQ,London,2025-10-30,01:20,12:58 PM,11h 38m,1,7815.5,Economy,5,Autumn,Thursday,Boeing 777,Website,1,89387.78
FL178350,Thai Airways,Pune,DXB,2025-08-23,9:55 PM,2:15 AM,4h 21m,1,2190.3,Economy,2,Monsoon,Saturday,Airbus A320,Travel Agent,1,37857.06
FL127354,Lufthansa,Goa,Doha,2025-04-14,14:10,18:11,241 min,0,,Economy,12,Summer,Monday,Boeing 777,Travel Agent,1,35174.48
FL166459,SpiceJet,Ahmedabad,Bangalore Airport,2026-10-20,13:10,3:15 PM,2h 05m,0,1239.2,Business,89,Autumn,Tuesday,Airbus A320,Website,2,10402.84
FL137828,British Airways,,Bangalore Airport,2025-03-23,12:00 AM,4:37 AM,4h 37m,non-stop,3215.8,Economy,12,Summer,Sunday,Boeing 777,Third-Party,3,
FL182425,GoFirst,Jaipur,Kolkata,2026-08-13,14:25,4:43 PM,2h 19m,non-stop,1413.2,Economy,1,Monsoon,Thursday,Airbus A320,Website,1,9968.73
FL188910,Indigo,Goa,Pune,2026-10-04,5:10 PM,19:19,2.16,1,369.4,Premium Economy,1,Autumn,Sunday,Airbus A321,Mobile App,1,3878.7
FL122537,Vistara,MAA,Doha,2026-09-16,5:20 PM,11:39 PM,6h 20m,1,3450.3,Economy,83,Monsoon,Wednesday,Airbus A380,Mobile App,2,18241.96
FL183815,indigo,Chennai,Delhi Airport,2026-01-28,10:10 PM,1:00 AM,2h 51m,non-stop,1827.7,Business,39,Winter,Wednesday,Airbus A321,Third-Party,3,23571.35
FL102650,Qatar Airways,Singapore,PNQ,2026-12-07,07:55,13:34,5.66,0,4021.2,Economy,19,Winter,Monday,Airbus A320,Travel Agent,,47178.55
FL167120,spicejet,Goa,Pune Airport,2026-05-30,6:10 PM,19:08,0h 59m,0,372.2,Economy,2,Summer,Saturday,Airbus A320,Travel Agent,1,3303.74
FL154847,British Airways,Singapore,FRA,2025-12-15,9:30 AM,1:10 AM,15.67,,10966.8 km,Economy,33,Winter,Monday,Airbus A380,Mobile App,2,101300.46
FL189443,AirAsia India,Ahmedabad,Kolkata,2025-02-16,9:15 AM,11:58,2.73,non-stop,1738.7,Premium Economy,2,Winter,Sunday,ATR 72,Mobile App,1,25000
FL110655,Vistara,Delhi Airport,London,2026-07-29,20:05,08:48,12h 43m,2 stops,7049.3,Business,38,Monsoon,Wednesday,Airbus A380,Website,1,78843.98
FL134098,Qatar Airways,Ahmedabad,New York Airport,2025-12-21,04:50,22:25,17h 36m,1 stop,12178.6,Business,116,Winter,Sunday,Airbus A320,Mobile App,6,200000
FL119204,Singapore Airlines,,Sydney,2025-07-02,9:10 PM,12:00 PM,14.84,1,9851.2,Economy,40,Monsoon,Wednesday,Airbus A320,Mobile App,2,
FL146270,Lufthansa,,New York,2026-03-27,,6:24 AM,10h 24m,1,6378.8,Economy,0,Summer,Friday,Airbus A350,,4,115038.59
FL154956,Vistara,Goa,PNQ,2025-01-15,7:45 PM,20:43,0.97,non-stop,366.1,Premium Economy,135,Winter,Wednesday,Airbus A321,Website,3,3948.87
FL128169,Emirates,London,Doha,2025-04-15,17:20,2:16 AM,8h 56m,1 stop,5265.9,Economy,32,Summer,Tuesday,Boeing 787 Dreamliner,Mobile App,1,57825.05
FL189317,british airways,Pune Airport,Dubai,2026-05-21,17:40,8:48 PM,3h 09m,0,2065.4,Economy,26,Summer,Thursday,Boeing 787 Dreamliner,Travel Agent,4,23298.75
FL187588,SpiceJet,Jaipur,Mumbai Airport,2025-01-10,23:05,03:09,,2,938.0,Economy,15,Winter,Friday,Airbus A321,Mobile App,6,4380.35
FL116471,British Airways,Hyderabad,Frankfurt,2026-05-18,12:35 AM,11:40,11h 06m,1 stop,7424.6,Business,38,Summer,Monday,,Website,4,200000
FL115333,Indigo,Jaipur,Mumbai,2025-05-25,09:45,11:25,1h 41m,0,922.0,Economy,21,,Sunday,Airbus A321,Website,4,4680.0
FL192485,Vistara,GOI,Doha,2026-11-14,19:40,23:42,4h 02m,0,2761.9,First,,Autumn,Saturday,Airbus A320,Third-Party,5,199046.87
FL135786,Qatar Airways,Singapore,Hyderabad,2025-03-08,12:30 PM,5:23 PM,4h 54m,,3429.3 km,Economy,94,Summer,Saturday,Boeing 777,Airport Counter,3,58642.13
FL101599,Air India,GOI,Hyderabad,2025-09-27,11:10 PM,3:56 AM,4.78,2,571.9,Economy,31,Monsoon,Saturday,Airbus A321,Travel Agent,2,2113.53
FL139344,,,Doha Airport,2025-07-25,23:30,04:17,287 min,1 stop,2305.7,Economy,31,Monsoon,Friday,Airbus A320,Website,2,22924.34
FL150355,British Airways,DOH,Hyderabad,2026-08-23,6:40 AM,12:35,5h 55m,,3018.2,Business,19,Monsoon,Sunday,Airbus A320,Third-Party,1,78510.25
FL144142,British Airways,Mumbai,SYD,2025-07-06,10:40,02:24,945 min,1,10519.0,Economy,68,,Sunday,Airbus A380,Third-Party,3,85654.76
FL125759,,Doha,Delhi,2026-05-25,8:05 PM,1:06 AM,5h 02m,1 stop,2649.1 km,Economy,19,Summer,Monday,Airbus A350,Website,4,32110.78
FL125034,Singapore Airlines,Sydney,Delhi,2026-12-31,06:00,8:50 PM,14h 50m,non-stop,11181.1,Business,1,Winter,Thursday,Boeing 777,,1,200000
FL108358,British Airways,Frankfurt,Ahmedabad,2026-02-18,19:45,7:19 AM,11h 35m,2,6633.7,Economy,4,Winter,Wednesday,Airbus A380,Website,2,64542.58
FL173061,SpiceJet,Chennai,Bangalore Airport,2025-09-19,,12:12 PM,0.88,0,296.1,Economy,8,Monsoon,Friday,ATR 72,Travel Agent,4,2000
FL110571,Indigo,Goa,Jaipur,2025-08-26,8:05 PM,,192 min,1,1301.1,Economy,16,Monsoon,Tuesday,Boeing 737,Third-Party,1,6154.54
FL107897,Vistara,Frankfurt,Goa,2025-12-09,15:40,1:26 AM,9h 47m,,7237.4,Premium Economy,10,Winter,Tuesday,Boeing 777,Mobile App,2,136906.12
FL185160,SpiceJet,Bangalore,Delhi,2026-04-06,2:30 AM,5:16 AM,2h 46m,non-stop,1773.6,Economy,11,Summer,Monday,Boeing 737,Travel Agent,,13261.54
FL132554,Singapore Airlines,Sydney,Dubai,2025-09-23,6:50 AM,11:49 PM,16h 59m,0,12862.6,Economy,8,Monsoon,Tuesday,Boeing 777,Mobile App,1,158918.84
FL173987,British Airways,AMD,Frankfurt,2026-11-14,17:25,2:19 AM,8h 54m,non-stop,6557.7,First,40,Autumn,Saturday,Airbus A350,Mobile App,1,200000
FL120110,Qatar Airways,Pune,Bangkok,2026-09-24,05:05,09:23,4.31,0,2972.0 km,Economy,15,Monsoon,Thursday,Airbus A320,Travel Agent,1,42620.31
FL192979,Singapore Airlines,JAI,New York,2025-05-25,04:35,21:24,16h 49m,1 stop,11927.7,Business,4,Summer,Sunday,Boeing 777,,2,200000
FL100583,Emirates,Sydney,Bangalore,2025-05-03,1:35 AM,15:40,14h 05m,1 stop,9377.7,Economy,153,Summer,Saturday,Airbus A380,Website,4,95826.45
FL186853,AirAsia India,Jaipur,Kolkata Airport,2025-04-08,11:25 PM,3:20 AM,3h 55m,1 stop,,Business,2,Summer,Tuesday,,Third-Party,2,25000
FL130756,Lufthansa,Sydney,Dubai,2025-10-25,9:55 AM,2:14 AM,16h 20m,0,12344.4 km,Economy,20 days,Autumn,Saturday,,Website,1,116478.0
FL168417,Thai Airways,Dubai Airport,SIN,2025-05-28,8:25 AM,16:56,8h 32m,,6259.6,Economy,4,Summer,Wednesday,Boeing 777,Airport Counter,3,80610.14
FL105254,Emirates,Sydney,DOH,2025-11-02,18:00,12:16 PM,,1 stop,12737.2,Business,8,Autumn,Sunday,Airbus A380,Third-Party,,200000
FL158506,AIR INDIA,Chennai Airport,Kolkata,2026-11-29,21:40,23:57,138 min,non-stop,1397.6,Premium Economy,66,Autumn,Sunday,ATR 72,Travel Agent,4,13577.08
FL197081,SpiceJet,Chennai,Pune,2025-08-27,1:10 AM,02:53,1h 44m,0,960.8,Economy,8,Monsoon,Wednesday,Boeing 737,Mobile App,3,5005.07
FL118105,Qatar Airways,Pune Airport,FRA,2026-11-29,21:10,07:44,10h 34m,1,6948.3,Business,15,Autumn,Sunday,Boeing 777,Website,1,"Rs. 200,000.00"
FL196871,GoFirst,Ahmedabad,PNQ,,3:10 PM,6:06 PM,2h 56m,1 stop,520.6,,36,Summer,Sunday,Boeing 737,Website,1,2861.29
FL162747,British Airways,Mumbai,New York Airport,2026-09-21,17:50,1:03 PM,1153 min,1,13470.8,Economy,5,Monsoon,Monday,Airbus A320,Travel Agent,1,194738.85
FL192961,AirAsia India,Jaipur,DEL,2026-02-23,21:35,10:23 PM,,0,243.1,Premium Economy,0,Winter,Monday,,Third-Party,1,2418.07
FL193798,Vistara,Bangalore,Mumbai,2025-04-02,11:45,,1.65,non-stop,898.4,Economy,3,Summer,Wednesday,Boeing 737,,1,9798.8
FL158920,qatar airways,Bangkok,Sydney,2025-02-14,6:50 AM,8:20 PM,13h 30m,2 stops,7803.3 km,Economy,43,Winter,Friday,Boeing 777,Third-Party,2,69185.49
FL113530,Indigo,Goa,Chennai,2025-03-16,10:50 AM,12:17 PM,87 min,non-stop,745.8,Economy,,,Sunday,Boeing 737,,2,6569.7
FL108901,Thai Airways,London,JFK,2025-09-01,3:40 PM,11:46 PM,8h 06m,0,5928.9,,1,Monsoon,Monday,Boeing 787 Dreamliner,,2,116540.66
FL100219,Thai Airways,Dubai Airport,Mumbai,2025-03-23,,22:00,3h 01m,0,1960.0,Economy,5,Summer,Sunday,Airbus A350,Third-Party,1,42374.36
FL147341,British Airways,Singapore Airport,Bangkok Airport,2026-09-14,3:25 AM,5:47 AM,2h 22m,0,1458.7 km,Economy,159,Monsoon,Monday,Airbus A320,Website,two,
FL190565,Indigo,Pune,Hyderabad,2026-03-13,20:20,22:32,2h 13m,1,506.9,Economy,0,Summer,Friday,Airbus A321,Website,1,"Rs. 3,599.56"
FL167065,,Singapore Airport,Sydney,2025-11-07,18:55,04:39,,1,6416.3,Economy,166,Autumn,Friday,Airbus A320,,4,57097.74
